City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
118,Bosaso,SO,73.36,overcast clouds,11.2842,49.1816,Red Sea Hotel
119,Namatanai,PG,78.08,light rain,-3.6667,152.4333,Namatanai Hotel
120,Sitka,US,42.8,light rain,57.0531,-135.33,Westmark Sitka
121,Laguna,US,54.0,mist,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
122,Esperance,AU,59.0,scattered clouds,-33.8667,121.9,Hospitality Esperance
125,Takoradi,GH,79.86,clear sky,4.8845,-1.7554,Raybow International Hotel
127,Caravelas,BR,81.14,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
129,Macusani,PE,50.09,few clouds,-14.0833,-70.4333,"Hospedaje ""Arca de Noe"""
131,Port Alfred,ZA,68.0,overcast clouds,-33.5906,26.891,The Halyards Hotel
134,Banda Aceh,ID,78.44,light rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
135,Cabo San Lucas,MX,77.0,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
138,Puerto Ayora,EC,84.2,clear sky,-0.7393,-90.3518,Castillo Galapagos
141,Creel,MX,51.75,clear sky,27.75,-107.6333,The Lodge at Creel Hotel & SPA
142,Riyadh,SA,60.8,clear sky,24.6877,46.7219,InterContinental Riyadh
145,Sambava,MG,77.83,overcast clouds,-14.2667,50.1667,Melrose
146,Isangel,VU,77.0,light rain,-19.55,169.2667,Volcano Sea View Tree House
147,Cape Town,ZA,69.01,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
149,Katherine,AU,78.8,clear sky,-14.4667,132.2667,Pine Tree Motel
151,Portland,US,46.0,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
152,Mattru,SL,76.24,clear sky,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
153,Skibbereen,IE,42.8,broken clouds,51.55,-9.2667,The West Cork Hotel
156,Chicama,PE,78.85,scattered clouds,-7.8447,-79.1469,Hospedaje Punta Cana PERU
159,Tura,IN,63.84,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
160,Xiongzhou,CN,41.09,overcast clouds,25.1167,114.3,Xinhewan Business Hotel
161,Ribeira Grande,PT,60.8,broken clouds,38.5167,-28.7,Quinta da Meia Eira
162,Camargo,MX,55.62,clear sky,27.6667,-105.1667,Hotel Santa Fe
163,Sandy Bay,AU,60.8,few clouds,-42.913000000000004,147.3532,St Ives Hobart Accommodation Tasmania
164,Westport,US,41.0,clear sky,41.1415,-73.3579,Norwalk Inn
165,Vila Velha,BR,84.2,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
167,Grand Gaube,MU,78.01,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
169,Masterton,NZ,69.01,clear sky,-40.9597,175.6575,Copthorne Hotel & Resort Solway Park Wairarapa
170,Flinders,AU,63.0,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
171,Mangrol,IN,69.51,broken clouds,21.1167,70.1167,Hotel The Royal Honours
173,Codrington,AU,73.36,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
174,Chodavaram,IN,66.2,mist,17.8333,82.95,Ganesh Defence Academy chodavadaram hostel
176,Wanaka,NZ,59.0,clear sky,-44.7,169.15,Wanaka Homestead Lodge and Cottages
177,Mwinilunga,ZM,64.02,light rain,-11.7358,24.4293,Kwakuwahi Lodge
181,Maragogi,BR,80.49,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
184,Nouadhibou,MR,69.8,sand,20.930999999999997,-17.0347,El Medina
185,Saint George,US,46.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
186,Quatre Cocos,MU,78.8,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
188,Touros,BR,82.4,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
189,Alofi,NU,80.6,light rain,-19.0595,-169.9187,Taloa Heights
192,Atar,MR,59.41,scattered clouds,20.5169,-13.0499,Oumou Elghoura
194,Inhambane,MZ,78.19,light rain,-23.865,35.3833,Oceano
195,Porto Santo,PT,57.2,scattered clouds,33.071999999999996,-16.3415,Hotel Porto Santo & Spa
198,Icod De Los Vinos,ES,62.01,scattered clouds,28.3724,-16.7119,Hotel Rural El Patio
202,Adamas,GR,64.4,overcast clouds,36.7333,24.4333,Aphrodite of Milos
204,Cururupu,BR,80.55,broken clouds,-1.8283,-44.8683,Pousada Través'cia
205,Geraldton,AU,66.2,clear sky,-28.7667,114.6,Broadwater Mariner Resort
